country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Sweden,2051,48.80305848,436.7951845,5383.73134,SSP1-2.6,1664.803,2115.803,4986.803,3729.803,2376.803,MPI-ESM1-2-LR
Germany,2052,28.68267719,369.3476809,5709.48068,SSP1-2.6,3996.683,3719.683,3503.683,4390.683,3937.683,MPI-ESM1-2-LR
Spain,2052,3846.612166,48002.01485,734288.8934,SSP1-2.6,159885.612,42307.612,249201.612,579780.612,522070.612,MPI-ESM1-2-LR
Sweden,2052,59.21604551,539.6062886,6448.626419,SSP1-2.6,3405.216,5056.216,5177.216,4400.216,3679.216,MPI-ESM1-2-LR
Germany,2053,28.22092741,377.1093179,5943.289554,SSP1-2.6,3051.221,3647.221,2679.221,2333.221,4427.221,MPI-ESM1-2-LR
Spain,2053,4675.26655,59873.89977,882162.447,SSP1-2.6,841912.267,477335.267,377585.267,550788.267,23014.267,MPI-ESM1-2-LR
Sweden,2053,60.13498913,526.7117093,6811.577985,SSP1-2.6,2122.135,5787.135,5850.135,5613.135,4144.135,MPI-ESM1-2-LR
Germany,2054,30.48247215,396.1814561,5867.211283,SSP1-2.6,3336.482,4636.482,3157.482,1360.482,548.482,MPI-ESM1-2-LR
Spain,2054,4666.054156,60059.56276,936641.6279,SSP1-2.6,60917.054,520755.054,10987.054,655913.054,97981.054,MPI-ESM1-2-LR
Sweden,2054,58.65242638,515.1733069,7230.695073,SSP1-2.6,6843.652,289.652,3557.652,4502.652,678.652,MPI-ESM1-2-LR
Germany,2055,16.98513931,205.3892757,3631.386289,SSP1-2.6,1172.985,1107.985,1653.985,3508.985,3035.985,MPI-ESM1-2-LR
Spain,2055,4264.146047,54804.09122,907131.7745,SSP1-2.6,362739.146,878064.146,698217.146,775271.146,53171.146,MPI-ESM1-2-LR
Sweden,2055,47.89872972,434.3098959,6173.370741,SSP1-2.6,1610.899,989.899,4459.899,3074.899,5755.899,MPI-ESM1-2-LR
Germany,2056,14.94356033,216.8947126,3527.40683,SSP1-2.6,1709.944,2571.944,318.944,3399.944,2807.944,MPI-ESM1-2-LR
Spain,2056,4563.999585,57646.25516,863450.1524,SSP1-2.6,821292,348062,31931,21525,554593,MPI-ESM1-2-LR
Sweden,2056,52.9816531,470.1594064,5951.638507,SSP1-2.6,4971.982,3403.982,1628.982,4034.982,1798.982,MPI-ESM1-2-LR
Germany,2057,18.06549696,219.5395959,3666.871579,SSP1-2.6,3452.065,2637.065,1670.065,2774.065,1494.065,MPI-ESM1-2-LR
Spain,2057,3533.999343,46176.84364,688484.6802,SSP1-2.6,436786.999,72954.999,514667.999,280041.999,530873.999,MPI-ESM1-2-LR
Sweden,2057,50.2113174,433.6398793,5944.662745,SSP1-2.6,1054.211,5833.211,73.211,3905.211,5357.211,MPI-ESM1-2-LR
Germany,2058,18.44495156,226.5161453,3989.063523,SSP1-2.6,3519.445,35.445,2043.445,3108.445,2161.445,MPI-ESM1-2-LR
Spain,2058,3810.425047,46769.75851,721651.4282,SSP1-2.6,538699.425,589896.425,405224.425,257824.425,347180.425,MPI-ESM1-2-LR
Sweden,2058,51.37640511,454.7867924,6159.054175,SSP1-2.6,1486.376,1168.376,4213.376,1769.376,1437.376,MPI-ESM1-2-LR
Germany,2059,16.37719744,226.3103049,4009.383757,SSP1-2.6,805.377,144.377,709.377,3857.377,2436.377,MPI-ESM1-2-LR
Spain,2059,3820.316039,47992.39494,715322.4732,SSP1-2.6,87438.316,265849.316,473572.316,543624.316,623866.316,MPI-ESM1-2-LR
Sweden,2059,50.22853073,479.7928493,6172.386062,SSP1-2.6,1790.229,54.229,4191.229,5307.229,376.229,MPI-ESM1-2-LR
Germany,2060,14.20083122,205.5460691,3470.188401,SSP1-2.6,1372.201,271.201,696.201,2241.201,1003.201,MPI-ESM1-2-LR
Spain,2060,3737.805461,43440.68356,713562.6162,SSP1-2.6,523483.805,438953.805,625945.805,135414.805,625628.805,MPI-ESM1-2-LR
Sweden,2060,49.89462583,522.4534067,7436.152696,SSP1-2.6,7054.895,1919.895,1668.895,2714.895,86.895,MPI-ESM1-2-LR
Germany,2061,16.83320947,232.1647192,4123.506207,SSP1-2.6,1450.833,2636.833,1175.833,1403.833,1828.833,MPI-ESM1-2-LR
Spain,2061,3590.320004,39312.44437,583363.3994,SSP1-2.6,482617.32,306805.32,320311.32,470170.32,372236.32,MPI-ESM1-2-LR
Sweden,2061,83.03011283,664.6519877,8954.257973,SSP1-2.6,7712.03,1566.03,7871.03,6494.03,570.03,MPI-ESM1-2-LR
Germany,2062,21.11574574,267.7736025,4249.367963,SSP1-2.6,2923.116,1022.116,225.116,3639.116,1241.116,MPI-ESM1-2-LR
Spain,2062,3734.004298,44666.78366,669876.8988,SSP1-2.6,356057.004,585017.004,35479.004,450304.004,291211.004,MPI-ESM1-2-LR
Sweden,2062,74.7806895,700.927574,8555.516937,SSP1-2.6,8041.781,6527.781,2798.781,4810.781,5421.781,MPI-ESM1-2-LR
Germany,2063,22.46201584,273.5086272,4370.89478,SSP1-2.6,314.462,871.462,3364.462,1872.462,656.462,MPI-ESM1-2-LR
Spain,2063,3891.1652,45956.19507,692038.5766,SSP1-2.6,374999.165,494348.165,286560.165,320024.165,521525.165,MPI-ESM1-2-LR
Sweden,2063,81.2484439,682.9426587,7693.452214,SSP1-2.6,1372.248,2267.248,6048.248,4921.248,6042.248,MPI-ESM1-2-LR
Germany,2064,21.06552602,250.7476544,3888.50253,SSP1-2.6,3709.066,1690.066,205.066,3769.066,2501.066,MPI-ESM1-2-LR
Spain,2064,3645.039357,45585.89721,698898.335,SSP1-2.6,76492.039,142916.039,575156.039,76746.039,211293.039,MPI-ESM1-2-LR
Sweden,2064,48.7521814,462.4905145,6400.838554,SSP1-2.6,5525.752,3734.752,1575.752,6338.752,2527.752,MPI-ESM1-2-LR
Germany,2065,19.88906824,236.4579428,4489.091085,SSP1-2.6,1889.889,1554.889,3852.889,3382.889,4041.889,MPI-ESM1-2-LR
Spain,2065,3748.518815,42007.78388,642330.3993,SSP1-2.6,279202.519,603135.519,540085.519,19578.519,246875.519,MPI-ESM1-2-LR
Sweden,2065,49.39687054,451.2304833,5709.827696,SSP1-2.6,3763.397,240.397,3616.397,2305.397,3484.397,MPI-ESM1-2-LR
Germany,2066,24.92590359,261.8145582,4044.99695,SSP1-2.6,1222.926,3518.926,3238.926,2693.926,3815.926,MPI-ESM1-2-LR
Spain,2066,3698.998989,44285.74927,639356.1815,SSP1-2.6,208931.999,11003.999,231377.999,617925.999,284487.999,MPI-ESM1-2-LR
Sweden,2066,47.80575335,458.3181638,6364.905506,SSP1-2.6,1298.806,4568.806,4472.806,6343.806,3204.806,MPI-ESM1-2-LR
Germany,2067,20.75886803,264.8397486,4453.34516,SSP1-2.6,3286.759,4298.759,3583.759,1939.759,407.759,MPI-ESM1-2-LR
Spain,2067,3461.903944,41946.01068,635026.205,SSP1-2.6,373477.904,81304.904,158812.904,69466.904,196903.904,MPI-ESM1-2-LR
Sweden,2067,50.23929401,460.2973505,5789.788186,SSP1-2.6,5108.239,2966.239,1864.239,4699.239,5089.239,MPI-ESM1-2-LR
Germany,2068,20.28449416,253.7784221,3972.657127,SSP1-2.6,1915.284,3714.284,2926.284,1256.284,1685.284,MPI-ESM1-2-LR
Spain,2068,3709.244824,40859.98975,613097.4884,SSP1-2.6,273566.245,540615.245,9450.245,289528.245,46130.245,MPI-ESM1-2-LR
Sweden,2068,50.45286185,497.7351971,6306.398974,SSP1-2.6,4919.453,140.453,4095.453,1103.453,5874.453,MPI-ESM1-2-LR
Germany,2069,27.77462953,345.3861388,5808.852258,SSP1-2.6,2890.775,4560.775,4591.775,3553.775,816.775,MPI-ESM1-2-LR
Spain,2069,3995.449613,48407.72464,729479.1984,SSP1-2.6,611531.45,685148.45,215627.45,345041.45,357224.45,MPI-ESM1-2-LR
Sweden,2069,53.86424048,445.5116631,5830.638302,SSP1-2.6,5377.864,1571.864,4754.864,4916.864,4477.864,MPI-ESM1-2-LR
Germany,2070,28.77581704,329.5469888,5206.29248,SSP1-2.6,735.776,2580.776,691.776,3541.776,4805.776,MPI-ESM1-2-LR
Spain,2070,4000.499614,47969.4627,792708.4814,SSP1-2.6,378174.5,185410.5,639857.5,412367.5,155228.5,MPI-ESM1-2-LR
Sweden,2070,51.08725785,463.4130174,5854.436831,SSP1-2.6,1274.087,2541.087,2369.087,3549.087,4664.087,MPI-ESM1-2-LR
Germany,2071,26.42790958,342.4811368,5329.87977,SSP1-2.6,173.428,3079.428,1118.428,1128.428,885.428,MPI-ESM1-2-LR
Spain,2071,4078.273717,46227.2823,631604.9051,SSP1-2.6,487302.274,399840.274,410613.274,109647.274,591248.274,MPI-ESM1-2-LR
Sweden,2071,49.87704318,457.4701106,6295.742324,SSP1-2.6,2077.877,4353.877,1658.877,6274.877,2627.877,MPI-ESM1-2-LR
Germany,2072,26.00015672,331.1282916,5003.380764,SSP1-2.6,2372,332,2818,1064,711,MPI-ESM1-2-LR
Spain,2072,3809.369474,46481.80708,688214.5271,SSP1-2.6,112380.369,149159.369,87575.369,32157.369,366764.369,MPI-ESM1-2-LR
Sweden,2072,60.19749358,528.3398507,6000.441875,SSP1-2.6,3071.197,3052.197,1381.197,693.197,4934.197,MPI-ESM1-2-LR
Germany,2073,26.76485612,332.7141846,4617.06298,SSP1-2.6,402.765,4077.765,1482.765,966.765,4613.765,MPI-ESM1-2-LR
Spain,2073,3893.420723,44485.50531,671541.4144,SSP1-2.6,200649.421,211198.421,72503.421,271630.421,477860.421,MPI-ESM1-2-LR
Sweden,2073,59.35034583,541.7937125,7190.777295,SSP1-2.6,5925.35,2169.35,7146.35,1537.35,3808.35,MPI-ESM1-2-LR
Germany,2074,28.16423938,342.1092574,5910.079905,SSP1-2.6,3495.164,5039.164,5890.164,1615.164,5811.164,MPI-ESM1-2-LR
Spain,2074,3771.886452,43511.49629,650800.7698,SSP1-2.6,505009.886,467849.886,96356.886,428159.886,548209.886,MPI-ESM1-2-LR
Sweden,2074,61.68223663,540.301185,6819.849224,SSP1-2.6,6643.682,2006.682,1192.682,5898.682,3534.682,MPI-ESM1-2-LR
Germany,2075,21.84948874,297.4209358,4885.346248,SSP1-2.6,3984.849,3552.849,1466.849,2529.849,1116.849,MPI-ESM1-2-LR
Spain,2075,4318.180042,50722.33724,790702.392,SSP1-2.6,345500.18,542742.18,58118.18,106912.18,542849.18,MPI-ESM1-2-LR
Sweden,2075,53.46653421,481.5389474,5955.641111,SSP1-2.6,476.467,5176.467,2047.467,878.467,4022.467,MPI-ESM1-2-LR
Germany,2076,24.55170142,285.037649,5191.400934,SSP1-2.6,3748.552,2403.552,3071.552,4475.552,2779.552,MPI-ESM1-2-LR
